Group,Code,Name,Description,Group Type Ceiling,Resource Label,Resource Permissions
">LAM",ADMIN,Admin,,,>>Analytics>>Data Entry,rx
">LAM",ADMIN,Admin,,,>>Analytics>>Data Entry>>Data Entry Instances,x
">LAM",ADMIN,Admin,,,">>Analytics>>Data Entry>>Data Entry Instances>>Data Entry : ""Assign/Unassign  Associate""",rud
">LAM",ADMIN,Admin,,,">>Analytics>>Data Entry>>Data Entry Instances>>Data Entry : ""Assign/Unassign  Associate""",rud
">LAM",ADMIN,Admin,,,">>Analytics>>Data Entry>>Data Entry Instances>>Data Entry : ""Clear Event""",rud
">LAM",ADMIN,Admin,,,">>Analytics>>Data Entry>>Data Entry Instances>>Data Entry : ""Update TVMevent""",rud
">LAM",ADMIN,Admin,,,>>Analytics>>Reports>>Report Instances,x
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Map -> ""Station Status""",r
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Map Summary -> ""Station Event Count""",r
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Table -> ""Open Events""",r
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Table -> ""TVM Events""",r
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Table Summary -> ""ViZix Events by User Time""",r
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Table Summary -> ""ViZix Events by User""",r
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Table Time Series -> ""TVM History""",r
">LAM",ADMIN,Admin,,,">>Analytics>>Reports>>Report Instances>>LAMetro -> Table Time Series -> ""ViZix Events""",r
">LAM",ADMIN,Admin,,,>>App Tabs,rx
">LAM",ADMIN,Admin,,,>>App Tabs>>Admin Tab,x
">LAM",ADMIN,Admin,,,>>App Tabs>>Admin Tab>>ViZix Events Menu,x
">LAM",ADMIN,Admin,,,>>App Tabs>>Track Tab,x
">LAM",ADMIN,Admin,,,>>App Tabs>>Track Tab>>Operations Menu,x
">LAM",ADMIN,Admin,,,>>Things>>Thing Types>>Thing Type Instances,x
">LAM",ADMIN,Admin,,,>>Things>>Thing Types>>Thing Type Instances>>Thing Type: EventCodes,rud
">LAM",ADMIN,Admin,,,>>Things>>Thing Types>>Thing Type Instances>>Thing Type: EventCodes>>Things: EventCodes,riud
">LAM",ADMIN,Admin,,,>>Things>>Thing Types>>Thing Type Instances>>Thing Type: Station,rud
">LAM",ADMIN,Admin,,,>>Things>>Thing Types>>Thing Type Instances>>Thing Type: Station>>Things: Station,riud
">LAM",ADMIN,Admin,,,>>Things>>Thing Types>>Thing Type Instances>>Thing Type: TVMEvents,rud
">LAM",ADMIN,Admin,,,>>Things>>Thing Types>>Thing Type Instances>>Thing Type: TVMEvents>>Things: TVMEvents,riud
">LAM",ASSOCIATE,Associate,,,>>Analytics>>Data Entry,x
