Thing Type Code,Owner Group,Thing Type Property,Unit,Type,Type Thing Type Code,Symbol,Time Series,Default Value
EVENTCODES,>LAM,ComponentDescription,,STRING,,,false,
EVENTCODES,>LAM,Description,,STRING,,,false,
EVENTCODES,>LAM,Impact,,STRING,,,false,
EVENTCODES,>LAM,Priority,,STRING,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,TxID,,STRING,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,alias,,STRING,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,aliasMapped,,STRING,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,datestamp,,TIMESTAMP,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,decoderQuality,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,digitalGain,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,doorEvent,,STRING,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,filter,,STRING,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,lastDetectTime,,TIMESTAMP,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,lastLocateTime,,TIMESTAMP,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,location,,COORDINATES,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,locationXYZ,,XYZ,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,logicalReader,,LOGICAL_READER,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,macId,,STRING,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,numBits,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,preambleQuality,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,round,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,rssi,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,rxPhasors,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,source,,STRING,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,thingReader,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,transmitSource,,STRING,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,tsCoreIn,,TIMESTAMP,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,tsEdgeIn,,TIMESTAMP,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,txAntennaPort,,STRING,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,txExpanderPort,,STRING,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,vgaValues,,NUMBER,,,false,
FLEXTAG_CODE_DEFAULT,>LAM,zg,,ZONE_GROUP,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,zm,,FACILITY_MAP,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,zone,,ZONE,,,true,
FLEXTAG_CODE_DEFAULT,>LAM,zt,,ZONE_TYPE,,,true,
LAMETROTVMEVENT,>LAM,aliasMapped,,STRING,,,false,
LAMETROTVMEVENT,>LAM,deviceId,,STRING,,,false,
LAMETROTVMEVENT,>LAM,doorEvent,,STRING,,,false,
LAMETROTVMEVENT,>LAM,lastDetectTime,,TIMESTAMP,,,false,
LAMETROTVMEVENT,>LAM,lastLocateTime,,TIMESTAMP,,,false,
LAMETROTVMEVENT,>LAM,location,,COORDINATES,,,true,
LAMETROTVMEVENT,>LAM,locationXYZ,,XYZ,,,true,
LAMETROTVMEVENT,>LAM,logicalReader,,LOGICAL_READER,,,true,
LAMETROTVMEVENT,>LAM,sessionId,,STRING,,,false,
LAMETROTVMEVENT,>LAM,source,,STRING,,,false,
LAMETROTVMEVENT,>LAM,tsCoreIn,,TIMESTAMP,,,false,
LAMETROTVMEVENT,>LAM,tsEdgeIn,,TIMESTAMP,,,false,
LAMETROTVMEVENT,>LAM,zone,,ZONE,,,true,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,cpuUtilPercent,,NUMBER,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,freeMem,,NUMBER,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,loadAvg_0_,,NUMBER,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,loadAvg_1_,,NUMBER,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,loadAvg_2_,,NUMBER,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,metaData_myID,,STRING,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,temperature_c_,,NUMBER,,,true,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,temperature_f_,,NUMBER,,,true,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,totMem,,NUMBER,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,ts_ms,,TIMESTAMP,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,tz,,STRING,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,upTime_sec,,NUMBER,,,false,
STARFLEX_STATUS_CODE_DEFAULT,>LAM,wallclock,,STRING,,,false,
STATION,>LAM,Address,,STRING,,,false,
STATION,>LAM,AddressURL,,URL,,,false,
STATION,>LAM,City,,STRING,,,false,
STATION,>LAM,Dispatch,,BOOLEAN,,,false,false
STATION,>LAM,DispatchStatus,,STRING,,,false,UNASSIGNED
STATION,>LAM,Dispatch_Props,,STRING,,,true,
STATION,>LAM,DispatchedAssociate,,STRING,,,false,
STATION,>LAM,EventArray,,STRING,,,true,[]
STATION,>LAM,EventCode,,STRING,,,true,140
STATION,>LAM,EventComponent,,STRING,,,false,
STATION,>LAM,EventDescription,,STRING,,,false,In Service
STATION,>LAM,EventImpact,,STRING,,,false,
STATION,>LAM,EventPriority,,STRING,,,true,0
STATION,>LAM,EventReportURL,,URL,,,false,
STATION,>LAM,PostalCode,,STRING,,,false,
STATION,>LAM,SpecialCase,,BOOLEAN,,,false,false
STATION,>LAM,State,,STRING,,,false,
STATION,>LAM,TVM_Props,,STRING,,,true,
STATION,>LAM,aliasMapped,,STRING,,,false,
STATION,>LAM,deviceID,,STRING,,,false,
STATION,>LAM,deviceId,,STRING,,,false,
STATION,>LAM,doorEvent,,STRING,,,false,
STATION,>LAM,lastDetectTime,,TIMESTAMP,,,false,
STATION,>LAM,lastLocateTime,,TIMESTAMP,,,false,
