Thing Type Code,Thing Serial,Thing Name,Owner Group,Alias Config,aliasMapped,deviceId,doorEvent,lastDetectTime,lastLocateTime,location,locationXYZ,logicalReader,sessionId,source,tsCoreIn,tsEdgeIn,zone,AssignedUser,CLEARED_DTM,CLEAR_DTM,CLEAR_EMPLOYEE_IDENT,CLEAR_EVENT_STATE,CLEAR_MESSAGE_ID,DEVICE_ID,Dispatch,DispatchStatus,DispatchedAssociate,EVENT_DESCRIPTION,EVENT_DTM,EventCode,EventOpen,FACID,FacilityName,Priority,SET_DTM,SET_EMPLOYEE_IDENT,SET_EMPLOYEE_SERIAL_NBR,SET_EVENT_STATE,SET_MESSAGE_ID,Cleared,user
TVMEVENTS,100,100,>LAM,,100,,,2020-04-30T14:18:33.866-0400,2020-04-30T14:18:33.866-0400,-118.48475222324949;34.01660574192403;0.0,3599.2;4359.2;0.0,,,FPTBRIDGETVMEVENTS,2020-04-30T14:25:33.912-0400,2020-04-30T14:25:33.811-0400,1041,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,30,TVM00707,false,UNASSIGNED,,In Service,2020-04-30T11:30-0400,140,true,1041,APU/Citrus College,0,2020-04-30T11:30-0400,0,,Set,100,,
TVMEVENTS,200,200,>LAM,,200,,,2020-04-30T14:20:03.849-0400,2020-04-30T14:20:03.849-0400,-118.48475222324949;34.01660574192403;0.0,3599.2;4359.2;0.0,,,SERVICES,2020-04-30T14:22:51.033-0400,2020-04-30T14:22:50.920-0400,1041,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,10,TVM00707,false,UNASSIGNED,,Billbox Removed / Inserted,2020-04-30T11:30-0400,407,true,1041,APU/Citrus College,1,2020-04-30T11:30-0400,0,,Set,200,,
TVMEVENTS,201,201,>LAM,,201,,,2020-04-30T14:20:03.849-0400,2020-04-30T14:20:03.849-0400,-118.48475222324949;34.01660574192403;0.0,3599.2;4359.2;0.0,,,FPTBRIDGETVMEVENTS,2020-04-30T14:24:03.940-0400,2020-04-30T14:24:03.826-0400,1041,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,20,TVM00707,false,UNASSIGNED,,CSC Bin Full,2020-04-30T11:30-0400,212,true,1041,APU/Citrus College,2,2020-04-30T11:30-0400,0,,Set,201,,
TVMEVENTS,1000,1000,>LAM,,1000,,,2020-05-05T11:43:33.809-0400,2020-05-05T11:43:33.809-0400,-118.48953326081852;34.013774427508636;0.0,2151.7;3325.1;0.0,,,FPTBRIDGETVMEVENTS,2020-05-05T11:43:33.914-0400,2020-05-05T11:43:33.892-0400,125,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,300,TVM00707,false,UNASSIGNED,,In Service,2020-05-05T11:30-0400,140,true,125,Wilshire/Vermont,0,2020-05-05T11:30-0400,0,,Set,1000,,
TVMEVENTS,2001,2001,>LAM,,2001,,,2020-04-30T14:36:34.195-0400,2020-04-30T14:36:34.195-0400,-118.4950114003196;34.01589706243033;0.0,493.1;4100.4;0.0,,,SERVICES,2020-05-09T22:33:35.941-0400,2020-05-09T22:33:35.821-0400,223,,,,0,Clear,,TVM00708,false,UNASSIGNED,,CSC Bin Full,2020-04-30T11:30-0400,212,true,223,APU/Citrus College,2,2020-04-30T11:30-0400,0,,Set,2001,true,
TVMEVENTS,2000,2000,>LAM,,2000,,,2020-04-30T14:36:34.195-0400,2020-04-30T14:36:34.195-0400,-118.4950114003196;34.01589706243033;0.0,493.1;4100.4;0.0,,,SERVICES,2020-05-09T20:56:07.166-0400,2020-05-09T20:56:07.052-0400,223,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,100,TVM00710,false,UNASSIGNED,,Billbox Removed / Inserted,2020-04-30T11:30-0400,407,true,223,APU/Citrus College,1,2020-04-30T11:30-0400,0,,Set,2000,true,
TVMEVENTS,500,500,>LAM,,500,,,2020-04-30T15:45:33.810-0400,2020-04-30T15:45:33.810-0400,-118.49433307385068;34.01589430942802;0.0,698.5;4099.4;0.0,,,FPTBRIDGETVMEVENTS,2020-04-30T16:01:33.980-0400,2020-04-30T16:01:33.871-0400,110,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,510,TVM00500,false,UNASSIGNED,,In Service,2020-04-30T11:30-0400,140,true,110,Pierce College,0,2020-04-30T11:30-0400,0,,Set,500,,
TVMEVENTS,502,502,>LAM,,502,,,2020-04-30T15:48:33.849-0400,2020-04-30T15:48:33.849-0400,-118.49433307385068;34.01589430942802;0.0,698.5;4099.4;0.0,,,FPTBRIDGETVMEVENTS,2020-04-30T16:00:03.982-0400,2020-04-30T16:00:03.871-0400,110,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,522,TVM00501,false,UNASSIGNED,,CSC Bin Full,2020-04-30T11:30-0400,212,true,110,Pierce College,2,2020-04-30T11:30-0400,0,,Set,502,,
TVMEVENTS,501,501,>LAM,,501,,,2020-04-30T15:48:33.849-0400,2020-04-30T15:48:33.849-0400,-118.49433307385068;34.01589430942802;0.0,698.5;4099.4;0.0,,,SERVICES,2020-04-30T15:59:05.685-0400,2020-04-30T15:59:05.568-0400,110,,2020-04-30T11:30-0400,2020-04-30T11:30-0400,0,Clear,511,TVM00500,false,UNASSIGNED,,Billbox Removed / Inserted,2020-04-30T11:30-0400,407,true,110,Pierce College,1,2020-04-30T11:30-0400,0,,Set,501,,
TVMEVENTS,999,999,>LAM,,999,,,2020-05-05T11:47:33.854-0400,2020-05-05T11:47:33.854-0400,-118.48953326081852;34.013774427508636;0.0,2151.7;3325.1;0.0,,,SERVICES,2020-05-05T18:47:31.304-0400,2020-05-05T18:47:31.187-0400,125,,2020-05-05T11:30-0400,2020-05-05T11:30-0400,0,Clear,3,TVM00707,false,UNASSIGNED,,In Service,2020-05-05T11:30-0400,140,true,125,Wilshire/Vermont,0,2020-05-05T11:30-0400,0,,Set,999,,
