Group,Code,Name,Description,Color,Facility Map,ZoneType,ZoneGroup,Zone Points,Zone Properties
">LAM>METRORAILBUS",104,Westlake/MacArthur Park,,"#EA30FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48940987920386|34.01353208844304;-118.48940987920386|34.0136699327922;-118.48921407794576|34.0136699327922;-118.48921407794576|34.01353208844304,
">LAM>METRORAILBUS",1041,APU/Citrus College,,"#FFD940",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48485817050558|34.01653348736287;-118.48485817050558|34.01667799648519;-118.4846462759934|34.01667799648519;-118.4846462759934|34.01653348736287,
">LAM>METRORAILBUS",105,103rd St/Watts Towers,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48878492450339|34.010715123452044;-118.48878492450339|34.01084852563867;-118.48861594533543|34.01084852563867;-118.48861594533543|34.010715123452044,
">LAM>METRORAILBUS",107,Warner Center Transit Hub,,"#FF8F5E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49529504743259|34.0155135570948;-118.49529504743259|34.015677187913816;-118.4950890539767|34.015677187913816;-118.4950890539767|34.0155135570948,
">LAM>METRORAILBUS",109,De Soto,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49472508498464|34.01586218542057;-118.49472508498464|34.0159317831234;-118.49462630425576|34.0159317831234;-118.49462630425576|34.01586218542057,
">LAM>METRORAILBUS",110,Pierce College,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49440683459859|34.015835393676724;-118.49440683459859|34.015953225179324;-118.49425931310277|34.015953225179324;-118.49425931310277|34.015835393676724,
">LAM>METRORAILBUS",111,Tampa,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.4940688762627|34.015971011052315;-118.4939052615128|34.015971011052315;-118.4939052615128|34.015833170439265;-118.4940688762627|34.015833170439265,
">LAM>METRORAILBUS",1110,1110-Cubic Lab,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48673880100252|34.010181157123164;-118.48673880100252|34.01031456014814;-118.48655104637147|34.01031456014814;-118.48655104637147|34.010181157123164,
">LAM>METRORAILBUS",112,Reseda,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49373628234486|34.01582872396414;-118.49373628234486|34.015971011052315;-118.49356730317693|34.015971011052315;-118.49356730317693|34.01582872396414,
">LAM>METRORAILBUS",113,Balboa,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49339295959098|34.015830947201735;-118.49339295959098|34.01595544841365;-118.49323202705007|34.01595544841365;-118.49323202705007|34.015830947201735,
